venue_id,venue_name,city,starting_price,venue_link,address,lattitude,longitude,is_new,locality,locality_zone
133766,Score Indoor Pickleball | Saki Naka,Mumbai,50,https://hudle.in/venues/score-pickleball-saki-naka/133766,"Krishanlal Marwah Industrial Estate, Saki Vihar Road, Marol, Andheri East, Mumbai, Maharashtra",19.111803,72.886091,TRUE,Andheri,Western Suburbs
320629,TSG X Global Sports Pickleball | Andheri Sports Complex,Mumbai,500,https://hudle.in/venues/tsg-x-global-sports-pickleball-andheri-sports-complex/320629,"Sports Complex, JP Road, Sahayog Society, Munshi Nagar, Andheri West, Mumbai, Maharashtra",19.126939,72.836270,TRUE,Andheri,Western Suburbs
329288,Radio Club | Bombay Pickleball and Padel Club,Mumbai,400,https://hudle.in/venues/radio-club-bombay-padel-club/329288,"157, Arthur Bunder rd, Apollo Bunder, Colaba 400001",18.918240,72.831838,TRUE,Colaba,South Mumbai
815995,Squat Up Pickleball | Vidyavihar West,Mumbai,450,https://hudle.in/venues/squat-up-pickleball-vidyavihar-west/815995,101/102 Nilkanth corporate park Kirol road Vidyavihar west 400086,19.081313,72.895999,TRUE,Kurla,Central Suburbs
956509,PicklePro Club | Equinox Business Park | BKC,Mumbai,750,https://hudle.in/venues/pse-equinox-business-park-bkc/956509,"Equinox Business Park, Lal Bahadur Shastri Marg, Ambedkar Nagar, Kurla West, Mumbai- 400070",19.071122,72.875685,TRUE,Kurla,Central Suburbs
133062,Sportzella Pickleball Center,Mumbai,100,https://hudle.in/venues/sportzella-pickleball/133062,"Sportzella Turf, Aaram Society Rd, Hind Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055",19.077947,72.856993,FALSE,Santacruz,Western Suburbs
442893,Aim Sports Pickleball | Nanavati,Mumbai,400,https://hudle.in/venues/aim-sports-pickleball-nanavati/442893,"Shree Chandulal Nanavati Vinay Mandir (Nanavati School), Vallabhbhai Patel Road, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra",19.097027,72.840648,TRUE,Vile Parle,Western Suburbs
677644,Ocean’s Edge Pickleball Club | Jai Hind College,Mumbai,50,https://hudle.in/venues/oceans-edge-pickleball-club-jai-hind-college/677644,"Jai Hind College, A Road, Churchgate, Mumbai, Maharashtra",18.934511,72.825211,TRUE,Churchgate,South Mumbai
518657,Global Sports Pickleball Center | Juhu,Mumbai,250,https://hudle.in/venues/the-pickleball-company-by-global-sports-juhu/518657,"N A. Ahuja Marg, Near Ritambhara College, Juhu, Mumbai - 400049",19.117919,72.823299,FALSE,Andheri,Western Suburbs
254340,PlayOSport | Tardeo,Mumbai,50,https://hudle.in/venues/playosport-tardeo/254340,"63, Tardeo Rd, above SBI bank, Haji Ali, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra",18.975220,72.812980,TRUE,Mumbai Central,South Mumbai
925673,Global Sports Pickleball Center | Peninsula Corporate Park,Mumbai,400,https://hudle.in/venues/global-sports-pickleball-center-pcp-condiminium/925673,"Peninsula Corporate park, Ganapatrao Kadam Marg, Lower Parel West, Mumbai, Maharashtra 400013",18.998809,72.825314,FALSE,Lower Parel,Central Mumbai
951282,Hurdles Sports Academy | Ghatkopar,Mumbai,400,https://hudle.in/venues/hurdles-sports-academy-pickleball/951282,"Shivaji Technical School, Next to SBI Bank, 90 Feet Road, Naidu Colony, Pant Nagar, Ghatkopar East, Mumbai.",19.083810,72.913614,TRUE,Ghatkopar,Central Suburbs
527361,PicklePro Club | KES | Khar West,Mumbai,50,https://hudle.in/venues/pickle-pro-club-kes-khar-west/527361,"Khar Education Society, SV Road, Khar West, Near Khar Police Station 400052",19.072494,72.838007,TRUE,Khar,Western Suburbs
687043,TSG Sports Arena | Willingdon Catholic Gymkhana,Mumbai,550,https://hudle.in/venues/tsg-sports-arena-willingdon-catholic-gymkhana/687043,"Willingdon Catholic Gymkhana, Church Ave, Willingdon, Santacruz West, Mumbai.",19.074753,72.840387,FALSE,Santacruz,Western Suburbs
391561,Don Bosco Pickleball Centre | Matunga East,Mumbai,500,https://hudle.in/venues/don-bosco-pickleball-centre-matunga-east/391561,"Gate 10, Don Bosco High School, Nathalal Parekh Marg, Matunga, 400019",19.025762,72.857107,FALSE,Matunga,Central Mumbai
697092,Maks Pickleball | Mihir Sen Sports Complex (Indoor),Mumbai,600,https://hudle.in/venues/maks-pickleball-dahisar/697092,"Mihir Sen Sports Complex, Near LODHA AQUA, opp. Central Mall, Pandurang Wadi, Mahajan Wadi, Mira Road East, Mira Bhayandar, Maharashtra 401107",19.264984,72.872425,FALSE,Mira Bhayandar,Western Suburbs
919815,Maks Pickleball Mira Road,Mumbai,500,https://hudle.in/venues/maks-pickleball-mira-road/919815,"Maks Pickleball, Near RBK School, Beverly Park, Mira Road East. Maharastra - 401107",19.290865,72.871763,FALSE,Mira Road,Western Suburbs
104450,Picklehaus | Mulund West,Mumbai,500,https://hudle.in/venues/picklehaus-mulund-west/104450,"5TH floor Oswal house, above Oswal supermarket, Sevaram Lalwani road,Mulund west",19.173453,72.954593,TRUE,Mulund,Central Suburbs
939039,The Wodehouse Gymkhana,Mumbai,118,https://hudle.in/venues/the-wodehouse-gymkhana/939039,"Wodehouse Gymkhana, Maharshi Karve Road, Nariman Point, Mumbai, Maharashtra",18.921948,72.827662,TRUE,Nariman Point,South Mumbai
909490,PicklePro Club | St Francis | Borivali West,Mumbai,50,https://hudle.in/venues/st-francis-pickle-pro-club-borivali-west/909490,"St. Francis D'Assisi High School, Mount Poinsur, Borivali West, 400103",19.245535,72.852394,TRUE,Borivali,Western Suburbs
764793,Global Sports Pickleball Centre | Sion,Mumbai,300,https://hudle.in/venues/global-sports-pickleball-centre-sion/764793,"The Hindustan Mineral Products Terrace, Namdev Koli Marg, Sion, Mumbai.",19.040093,72.865444,TRUE,Sion,Central Mumbai
325697,Pickle Partners | Nariman Point,Mumbai,400,https://hudle.in/venues/pickle-partners-nariman-point/325697,"Gopi Birla Memorial School, Walkeshwar Road, Krishanaraj Society, Walkeshwar, Malabar Hill, Mumbai.",18.952037,72.803444,TRUE,Malabar Hill,South Mumbai
